identifier,latitude_start,longitude_start,routeName,latitude_end,longitude_end,,Lat_Difference,Lon_Difference,Sum
4694,49.21962938,-123.0505537,Sunrise,49.21904469,-123.0505554,Sunrise,584.6935118,1.676332005,586.3698438
4613,49.25465553,-123.0495512,Sunrise,49.25407084,-123.0495496,Sunrise,584.6885233,1.609028004,586.2975513
162,49.27869657,-123.1021275,Quebec,49.27811188,-123.102126,Quebec,584.685502,1.550969003,586.236471
4655,49.28945761,-123.0466801,Sunrise,49.2900423,-123.0466786,Sunrise,584.6862323,1.539639001,586.2258713
2773,49.23641522,-123.1730404,Balaclava,49.23583052,-123.1730419,Balaclava,584.6937213,1.531856995,586.2255783
4647,49.28478015,-123.0466984,Sunrise,49.28536484,-123.0466969,Sunrise,584.6867065,1.535190009,586.2218965
4635,49.25066053,-123.0496157,Sunrise,49.25007584,-123.0496142,Sunrise,584.6889782,1.494201001,586.1831792
2774,49.23583052,-123.1730419,Balaclava,49.23524584,-123.1730434,Balaclava,584.684695,1.471429002,586.156124
4938,49.2891081,-123.0283066,Cassiar,49.28969279,-123.0283052,Cassiar,584.6859715,1.403489009,586.0894605
4937,49.28852341,-123.028308,Cassiar,49.2891081,-123.0283066,Cassiar,584.68603,1.399331993,586.085362
4936,49.28793874,-123.0283094,Cassiar,49.28852341,-123.028308,Cassiar,584.6770872,1.370429999,586.0475172
4939,49.28969279,-123.0283052,Cassiar,49.29027744,-123.0283038,Cassiar,584.649921,1.360908001,586.010829
4626,49.28185672,-123.0467028,Sunrise,49.28127204,-123.0467041,Sunrise,584.6779537,1.251808001,585.9297617
656,49.28095219,-123.036201,Windermere,49.2803675,-123.0362022,Windermere,584.6869046,1.216445,585.9033496
4648,49.28536484,-123.0466969,Sunrise,49.28594952,-123.0466957,Sunrise,584.6865092,1.194200991,585.8807102
4628,49.28068735,-123.0467045,Sunrise,49.28010267,-123.0467057,Sunrise,584.6870356,1.172013995,585.8590496
260,49.28503526,-123.0308711,Cassiar,49.28561995,-123.0308699,Cassiar,584.6863509,1.148934004,585.8352849
1324,49.25539092,-123.1851322,Dunbar,49.2559756,-123.1851333,Dunbar,584.6786695,1.142268999,585.8209385
4407,49.21053608,-123.0807241,E Kent S,49.21111014,-123.0807123,E Kent S,574.0604866,11.757395,585.8178816
3207,49.27831773,-123.0617419,Lakewood,49.27890242,-123.0617408,Lakewood,584.6873439,1.083606989,585.7709509
4621,49.28478015,-123.0466984,Sunrise,49.28419546,-123.0466995,Sunrise,584.6865682,1.045646002,585.7322142
4607,49.25816366,-123.0495533,Sunrise,49.25757898,-123.0495523,Sunrise,584.688427,1.001759003,585.690186
4662,49.23643323,-123.048843,Sunrise,49.23584854,-123.0488421,Sunrise,584.6906681,0.941918003,585.6325861
4661,49.23701792,-123.0488439,Sunrise,49.23643323,-123.048843,Sunrise,584.6906312,0.888369996,585.5790012
1519,49.27397361,-123.0734228,Mosaic,49.27338892,-123.0734219,Mosaic,584.6867355,0.867788998,585.5545245
4622,49.28419546,-123.0466995,Sunrise,49.28361078,-123.0467002,Sunrise,584.6865159,0.76924799,585.4557639
1142,49.24627832,-123.0520433,BC Parkway,49.24569363,-123.0520441,BC Parkway,584.6903987,0.731979995,585.4223787
4660,49.23760261,-123.0488446,Sunrise,49.23701792,-123.0488439,Sunrise,584.6906554,0.690578005,585.3812334
1310,49.23915522,-123.1852916,Dunbar,49.23857054,-123.1852922,Dunbar,584.6832607,0.655056013,585.3383167
4693,49.22021407,-123.0505543,Sunrise,49.21962938,-123.0505537,Sunrise,584.6924433,0.629332007,585.3217753
4625,49.2824414,-123.0467022,Sunrise,49.28185672,-123.0467028,Sunrise,584.6866221,0.590456992,585.2770791
3651,49.28443766,-123.1428818,Seaside,49.28500385,-123.1429009,Seaside,566.1867179,19.048308,585.2350259
4629,49.28010267,-123.0467057,Sunrise,49.27951798,-123.0467062,Sunrise,584.6868339,0.525787001,585.2126209
4696,49.21846,-123.0505581,Sunrise,49.21787531,-123.0505586,Sunrise,584.6931182,0.504917992,585.1980362
4643,49.24598305,-123.0496396,Sunrise,49.24539836,-123.0496391,Sunrise,584.6898959,0.465208004,585.1551039
