,UNIQUE_ID,ROUTE_NAM,STREET_NAM,TPL_TYPE,STATUS,LENGTH,YEAR_CONST,DIRECTION,STREET_TYP,POINT_X,POINT_Y,newLong,newLat
4720,450,Central Valley,Central Valley Greenway,Protected Bike Lanes,Active,888,2009,EW,Pathway,496895.30033758096,5456278.949029518,-123.0426691717906,49.25926843319598
4721,450,Central Valley,Central Valley Greenway,Protected Bike Lanes,Active,888,2009,EW,Pathway,496959.46812521573,5456289.317010513,-123.04178736632893,49.259362017663165
4722,450,Central Valley,Central Valley Greenway,Protected Bike Lanes,Active,888,2009,EW,Pathway,497023.63591285236,5456299.684991505,-123.04090555752862,49.259455595399615
4723,450,Central Valley,Central Valley Greenway,Protected Bike Lanes,Active,888,2009,EW,Pathway,497087.70924757235,5456310.567363774,-123.04002504724427,49.25955379301203
4724,450,Central Valley,Central Valley Greenway,Protected Bike Lanes,Active,888,2009,EW,Pathway,497151.37449511886,5456323.672181768,-123.03915015782846,49.259671973374076
4725,450,Central Valley,Central Valley Greenway,Protected Bike Lanes,Active,888,2009,EW,Pathway,497215.03974266816,5456336.77699976,-123.03827526423092,49.259790147109804
4726,450,Central Valley,Central Valley Greenway,Protected Bike Lanes,Active,888,2009,EW,Pathway,497257.0817,5456345.5086,-123.03769751808588,49.25986887963639
4727,451,Midtown,Cariboo,Local Street,Active,97,2003,EW,Residential,498012.6856000023,5454639.054000003,-123.02730434947223,49.24452186575563
4728,451,Midtown,Cariboo,Local Street,Active,97,2003,EW,Residential,497977.6769927414,5454584.287245324,-123.02778506747883,49.244029111361456
4729,451,Midtown,Cariboo,Local Street,Active,97,2003,EW,Residential,497960.176,5454556.910700001,-123.02802537744121,49.2437827948657
4730,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496411.6972000012,5458301.318600003,-123.049333662269,49.2774573919365
4731,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496410.78083930817,5458236.325129898,-123.04934567757829,49.27687275864983
4732,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496410.0809998056,5458171.328922709,-123.04935471582121,49.27628810195346
4733,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496409.3301362507,5458106.333302511,-123.04936445533822,49.275703450177396
4734,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496408.46385204326,5458041.339091612,-123.04937578142415,49.275118810339976
4735,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496407.68546667043,5457976.34375618,-123.04938589883507,49.274534160843174
